site_count,ok,commit_mode,disaster_safe_ms
2,1,FAST,132.080965
2,1,FAST,98.579954
2,1,FAST,185.795297
2,1,FAST,189.317392
2,1,FAST,110.576716
2,1,FAST,136.626135
2,1,FAST,83.690979
2,1,FAST,159.140322
2,1,FAST,193.019292
2,1,FAST,204.642151
2,1,FAST,166.779052
2,1,FAST,168.951955
2,1,FAST,83.710859
2,1,FAST,105.014132
2,1,FAST,86.348585
2,1,FAST,123.498319
2,1,FAST,149.170472
2,1,FAST,93.710465
2,1,FAST,141.958005
2,1,FAST,159.751017
2,1,FAST,149.140316
2,1,FAST,153.165559
2,1,FAST,111.783588
2,1,FAST,83.679874
2,1,FAST,137.256690
2,1,FAST,139.672154
2,1,FAST,103.759179
2,1,FAST,104.058524
2,1,FAST,149.771433
2,1,FAST,102.279451
2,1,FAST,129.902574
2,1,FAST,124.858419
2,1,FAST,131.612667
2,1,FAST,140.150531
2,1,FAST,126.972510
2,1,FAST,100.261085
2,1,FAST,143.116422
2,1,FAST,177.066383
2,1,FAST,98.575877
2,1,FAST,157.281179
2,1,FAST,190.928436
2,1,FAST,124.020956
2,1,FAST,212.176588
2,1,FAST,190.061946
2,1,FAST,168.117759
2,1,FAST,86.469086
2,1,FAST,146.356334
2,1,FAST,129.566204
2,1,FAST,103.384317
2,1,FAST,216.550278
2,1,FAST,93.091147
2,1,FAST,152.437992
2,1,FAST,156.896991
2,1,FAST,137.836831
2,1,FAST,107.501551
2,1,FAST,136.031204
2,1,FAST,114.447152
2,1,FAST,87.192793
2,1,FAST,93.222965
2,1,FAST,114.650402
2,1,FAST,141.234174
2,1,FAST,130.131424
2,1,FAST,148.634562
2,1,FAST,83.812296
2,1,FAST,99.547582
2,1,FAST,157.937097
2,1,FAST,114.103006
2,1,FAST,83.753594
2,1,FAST,141.724603
2,1,FAST,198.307517
2,1,FAST,120.913900
2,1,FAST,121.531114
2,1,FAST,91.148036
2,1,FAST,171.853408
2,1,FAST,153.864185
2,1,FAST,94.734523
2,1,FAST,181.610418
2,1,FAST,157.352646
2,1,FAST,190.877978
2,1,FAST,195.510237
2,1,FAST,124.564042
2,1,FAST,145.919221
2,1,FAST,135.015197
2,1,FAST,101.394655
2,1,FAST,161.432247
2,1,FAST,120.010772
2,1,FAST,83.821355
2,1,FAST,103.670059
2,1,FAST,191.130047
2,1,FAST,83.756926
2,1,FAST,184.485116
2,1,FAST,132.807895
